satisfaction,effort,dissatisfaction,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,id,throughput,productivity,squandering,annoyance,dirtiness
1.0,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0625,1.0,0.975,7.0,7.0
10.0,3,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.125,3.3333333333333335,0.925,1.6,5.333333333333333
15.0,4,23,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0.1875,3.75,0.9,1.5333333333333334,5.75
20.0,5,29,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,4,0.25,4.0,0.875,1.45,5.8
24.0,6,32,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0.25,4.0,0.85,1.3333333333333333,5.333333333333333
29.0,7,38,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,6,0.3125,4.142857142857143,0.825,1.3103448275862069,5.428571428571429
32.0,8,41,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0.3125,4.0,0.8,1.28125,5.125
37.0,9,47,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,0.375,4.111111111111111,0.775,1.2702702702702702,5.222222222222222
39.0,10,46,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,9,0.375,3.9,0.75,1.1794871794871795,4.6
44.0,11,52,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,10,0.4375,4.0,0.725,1.1818181818181819,4.7272727272727275
45.0,12,51,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,11,0.4375,3.75,0.7,1.1333333333333333,4.25
50.0,13,57,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,0.5,3.8461538461538463,0.675,1.14,4.384615384615385
53.0,16,65,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,13,0.5625,3.3125,0.6,1.2264150943396226,4.0625
54.0,17,62,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,14,0.5625,3.176470588235294,0.575,1.1481481481481481,3.6470588235294117
57.0,20,70,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,15,0.625,2.85,0.5,1.2280701754385965,3.5
58.0,23,77,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,16,0.6875,2.5217391304347827,0.425,1.3275862068965518,3.347826086956522
59.0,26,84,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,17,0.75,2.269230769230769,0.35,1.423728813559322,3.230769230769231
60.0,29,92,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,18,0.8125,2.0689655172413794,0.275,1.5333333333333334,3.1724137931034484
61.0,32,101,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,19,0.875,1.90625,0.2,1.6557377049180328,3.15625
62.0,36,108,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,20,0.9375,1.7222222222222223,0.1,1.7419354838709677,3.0
63.0,40,117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,1.0,1.575,0.0,1.8571428571428572,2.925
1.0,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0.0625,1.0,0.975,7.0,7.0
3.0,3,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0.0625,1.0,0.925,2.6666666666666665,2.6666666666666665
10.0,3,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,0.125,3.3333333333333335,0.925,1.6,5.333333333333333
4.0,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0.0625,1.0,0.9,1.25,1.25
13.0,4,22,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,26,0.1875,3.25,0.9,1.6923076923076923,5.5
15.0,4,23,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,27,0.1875,3.75,0.9,1.5333333333333334,5.75
5.0,5,12,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,28,0.125,1.0,0.875,2.4,2.4
20.0,5,29,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,29,0.25,4.0,0.875,1.45,5.8
18.0,5,25,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,0.1875,3.6,0.875,1.3888888888888888,5.0
22.0,6,31,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,31,0.25,3.6666666666666665,0.85,1.4090909090909092,5.166666666666667
24.0,6,32,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,32,0.25,4.0,0.85,1.3333333333333333,5.333333333333333
7.0,7,13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,33,0.125,1.0,0.825,1.8571428571428572,1.8571428571428572
14.0,7,21,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,34,0.1875,2.0,0.825,1.5,3.0
29.0,7,38,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,35,0.3125,4.142857142857143,0.825,1.3103448275862069,5.428571428571429
25.0,7,30,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,36,0.25,3.5714285714285716,0.825,1.2,4.285714285714286
19.0,8,28,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,37,0.25,2.375,0.8,1.4736842105263157,3.5
30.0,8,40,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,38,0.3125,3.75,0.8,1.3333333333333333,5.0
32.0,8,41,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,39,0.3125,4.0,0.8,1.28125,5.125
32.0,9,39,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,40,0.3125,3.5555555555555554,0.775,1.21875,4.333333333333333
37.0,9,47,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,41,0.375,4.111111111111111,0.775,1.2702702702702702,5.222222222222222
26.0,10,36,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,42,0.3125,2.6,0.75,1.3846153846153846,3.6
28.0,10,37,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,43,0.3125,2.8,0.75,1.3214285714285714,3.7
37.0,10,45,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,44,0.375,3.7,0.75,1.2162162162162162,4.5
39.0,10,46,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,45,0.375,3.9,0.75,1.1794871794871795,4.6
33.0,11,43,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,46,0.375,3.0,0.725,1.303030303030303,3.909090909090909
29.0,11,35,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,47,0.3125,2.6363636363636362,0.725,1.206896551724138,3.1818181818181817
38.0,11,44,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,48,0.375,3.4545454545454546,0.725,1.1578947368421053,4.0
44.0,11,52,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,49,0.4375,4.0,0.725,1.1818181818181819,4.7272727272727275
43.0,12,50,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,50,0.4375,3.5833333333333335,0.7,1.1627906976744187,4.166666666666667
45.0,12,51,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,51,0.4375,3.75,0.7,1.1333333333333333,4.25
50.0,13,57,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,52,0.5,3.8461538461538463,0.675,1.14,4.384615384615385
42.0,15,49,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,53,0.4375,2.8,0.625,1.1666666666666667,3.2666666666666666
47.0,16,55,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,54,0.5,2.9375,0.6,1.1702127659574468,3.4375
49.0,16,56,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,55,0.5,3.0625,0.6,1.1428571428571428,3.5
51.0,16,64,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,56,0.5625,3.1875,0.6,1.2549019607843137,4.0
53.0,16,65,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,57,0.5625,3.3125,0.6,1.2264150943396226,4.0625
54.0,17,62,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,58,0.5625,3.176470588235294,0.575,1.1481481481481481,3.6470588235294117
55.0,20,69,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,59,0.625,2.75,0.5,1.2545454545454546,3.45
57.0,20,70,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,60,0.625,2.85,0.5,1.2280701754385965,3.5
58.0,23,77,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,61,0.6875,2.5217391304347827,0.425,1.3275862068965518,3.347826086956522
59.0,26,84,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,62,0.75,2.269230769230769,0.35,1.423728813559322,3.230769230769231
60.0,29,92,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,63,0.8125,2.0689655172413794,0.275,1.5333333333333334,3.1724137931034484
60.0,30,91,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,64,0.8125,2.0,0.25,1.5166666666666666,3.033333333333333
61.0,32,101,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,65,0.875,1.90625,0.2,1.6557377049180328,3.15625
61.0,33,99,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,66,0.875,1.8484848484848484,0.175,1.6229508196721312,3.0
62.0,36,108,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,67,0.9375,1.7222222222222223,0.1,1.7419354838709677,3.0
63.0,40,117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,68,1.0,1.575,0.0,1.8571428571428572,2.925
